Date,Year,Quarter,Month,Day
03/16/18,2018,Qtr 1,Mar,Fri
03/17/18,2018,Qtr 1,Mar,Sat
03/18/18,2018,Qtr 1,Mar,Sun
03/19/18,2018,Qtr 1,Mar,Mon
03/20/18,2018,Qtr 1,Mar,Tue
03/21/18,2018,Qtr 1,Mar,Wed
03/22/18,2018,Qtr 1,Mar,Thu
03/23/18,2018,Qtr 1,Mar,Fri
03/24/18,2018,Qtr 1,Mar,Sat
03/25/18,2018,Qtr 1,Mar,Sun
03/26/18,2018,Qtr 1,Mar,Mon
03/27/18,2018,Qtr 1,Mar,Tue
03/28/18,2018,Qtr 1,Mar,Wed
03/29/18,2018,Qtr 1,Mar,Thu
03/30/18,2018,Qtr 1,Mar,Fri
03/31/18,2018,Qtr 1,Mar,Sat
04/01/18,2018,Qtr 2,Apr,Sun
04/02/18,2018,Qtr 2,Apr,Mon
04/03/18,2018,Qtr 2,Apr,Tue
04/04/18,2018,Qtr 2,Apr,Wed
04/05/18,2018,Qtr 2,Apr,Thu
04/06/18,2018,Qtr 2,Apr,Fri
04/07/18,2018,Qtr 2,Apr,Sat
04/08/18,2018,Qtr 2,Apr,Sun
04/09/18,2018,Qtr 2,Apr,Mon
04/10/18,2018,Qtr 2,Apr,Tue
04/11/18,2018,Qtr 2,Apr,Wed
04/12/18,2018,Qtr 2,Apr,Thu
04/13/18,2018,Qtr 2,Apr,Fri
04/14/18,2018,Qtr 2,Apr,Sat
04/15/18,2018,Qtr 2,Apr,Sun
04/16/18,2018,Qtr 2,Apr,Mon
04/17/18,2018,Qtr 2,Apr,Tue
04/18/18,2018,Qtr 2,Apr,Wed
04/19/18,2018,Qtr 2,Apr,Thu
04/20/18,2018,Qtr 2,Apr,Fri
04/21/18,2018,Qtr 2,Apr,Sat
04/22/18,2018,Qtr 2,Apr,Sun
04/23/18,2018,Qtr 2,Apr,Mon
04/24/18,2018,Qtr 2,Apr,Tue
04/25/18,2018,Qtr 2,Apr,Wed
04/26/18,2018,Qtr 2,Apr,Thu
04/27/18,2018,Qtr 2,Apr,Fri
04/28/18,2018,Qtr 2,Apr,Sat
04/29/18,2018,Qtr 2,Apr,Sun
04/30/18,2018,Qtr 2,Apr,Mon
05/01/18,2018,Qtr 2,May,Tue
05/02/18,2018,Qtr 2,May,Wed
05/03/18,2018,Qtr 2,May,Thu
05/04/18,2018,Qtr 2,May,Fri
05/05/18,2018,Qtr 2,May,Sat
05/06/18,2018,Qtr 2,May,Sun
05/07/18,2018,Qtr 2,May,Mon
05/08/18,2018,Qtr 2,May,Tue
05/09/18,2018,Qtr 2,May,Wed
05/10/18,2018,Qtr 2,May,Thu
05/11/18,2018,Qtr 2,May,Fri
05/12/18,2018,Qtr 2,May,Sat
05/13/18,2018,Qtr 2,May,Sun
05/14/18,2018,Qtr 2,May,Mon
05/15/18,2018,Qtr 2,May,Tue
05/16/18,2018,Qtr 2,May,Wed
05/17/18,2018,Qtr 2,May,Thu
05/18/18,2018,Qtr 2,May,Fri
05/19/18,2018,Qtr 2,May,Sat
05/20/18,2018,Qtr 2,May,Sun
05/21/18,2018,Qtr 2,May,Mon
05/22/18,2018,Qtr 2,May,Tue
05/23/18,2018,Qtr 2,May,Wed
05/24/18,2018,Qtr 2,May,Thu
05/25/18,2018,Qtr 2,May,Fri
05/26/18,2018,Qtr 2,May,Sat
05/27/18,2018,Qtr 2,May,Sun
05/28/18,2018,Qtr 2,May,Mon
05/29/18,2018,Qtr 2,May,Tue
05/30/18,2018,Qtr 2,May,Wed
05/31/18,2018,Qtr 2,May,Thu
06/01/18,2018,Qtr 2,Jun,Fri
06/02/18,2018,Qtr 2,Jun,Sat
06/03/18,2018,Qtr 2,Jun,Sun
06/04/18,2018,Qtr 2,Jun,Mon
06/05/18,2018,Qtr 2,Jun,Tue
06/06/18,2018,Qtr 2,Jun,Wed
06/07/18,2018,Qtr 2,Jun,Thu
06/08/18,2018,Qtr 2,Jun,Fri
06/09/18,2018,Qtr 2,Jun,Sat
06/10/18,2018,Qtr 2,Jun,Sun
06/11/18,2018,Qtr 2,Jun,Mon
06/12/18,2018,Qtr 2,Jun,Tue
06/13/18,2018,Qtr 2,Jun,Wed
06/14/18,2018,Qtr 2,Jun,Thu
06/15/18,2018,Qtr 2,Jun,Fri
06/16/18,2018,Qtr 2,Jun,Sat
06/17/18,2018,Qtr 2,Jun,Sun
06/18/18,2018,Qtr 2,Jun,Mon
06/19/18,2018,Qtr 2,Jun,Tue
06/20/18,2018,Qtr 2,Jun,Wed
06/21/18,2018,Qtr 2,Jun,Thu
06/22/18,2018,Qtr 2,Jun,Fri
06/23/18,2018,Qtr 2,Jun,Sat
06/24/18,2018,Qtr 2,Jun,Sun
06/25/18,2018,Qtr 2,Jun,Mon
06/26/18,2018,Qtr 2,Jun,Tue
06/27/18,2018,Qtr 2,Jun,Wed
06/28/18,2018,Qtr 2,Jun,Thu
06/29/18,2018,Qtr 2,Jun,Fri
06/30/18,2018,Qtr 2,Jun,Sat
07/01/18,2018,Qtr 3,Jul,Sun
07/02/18,2018,Qtr 3,Jul,Mon
07/03/18,2018,Qtr 3,Jul,Tue
07/04/18,2018,Qtr 3,Jul,Wed
07/05/18,2018,Qtr 3,Jul,Thu
07/06/18,2018,Qtr 3,Jul,Fri
07/07/18,2018,Qtr 3,Jul,Sat
07/08/18,2018,Qtr 3,Jul,Sun
07/09/18,2018,Qtr 3,Jul,Mon
07/10/18,2018,Qtr 3,Jul,Tue
07/11/18,2018,Qtr 3,Jul,Wed
07/12/18,2018,Qtr 3,Jul,Thu
07/13/18,2018,Qtr 3,Jul,Fri
07/14/18,2018,Qtr 3,Jul,Sat
07/15/18,2018,Qtr 3,Jul,Sun
07/16/18,2018,Qtr 3,Jul,Mon
07/17/18,2018,Qtr 3,Jul,Tue
07/18/18,2018,Qtr 3,Jul,Wed
07/19/18,2018,Qtr 3,Jul,Thu
07/20/18,2018,Qtr 3,Jul,Fri
07/21/18,2018,Qtr 3,Jul,Sat
07/22/18,2018,Qtr 3,Jul,Sun
07/23/18,2018,Qtr 3,Jul,Mon
07/24/18,2018,Qtr 3,Jul,Tue
07/25/18,2018,Qtr 3,Jul,Wed
07/26/18,2018,Qtr 3,Jul,Thu
07/27/18,2018,Qtr 3,Jul,Fri
07/28/18,2018,Qtr 3,Jul,Sat
07/29/18,2018,Qtr 3,Jul,Sun
07/30/18,2018,Qtr 3,Jul,Mon
07/31/18,2018,Qtr 3,Jul,Tue
08/01/18,2018,Qtr 3,Aug,Wed
08/02/18,2018,Qtr 3,Aug,Thu
08/03/18,2018,Qtr 3,Aug,Fri
08/04/18,2018,Qtr 3,Aug,Sat
08/05/18,2018,Qtr 3,Aug,Sun
08/06/18,2018,Qtr 3,Aug,Mon
08/07/18,2018,Qtr 3,Aug,Tue
08/08/18,2018,Qtr 3,Aug,Wed
08/09/18,2018,Qtr 3,Aug,Thu
08/10/18,2018,Qtr 3,Aug,Fri
08/11/18,2018,Qtr 3,Aug,Sat
08/12/18,2018,Qtr 3,Aug,Sun
08/13/18,2018,Qtr 3,Aug,Mon
08/14/18,2018,Qtr 3,Aug,Tue
08/15/18,2018,Qtr 3,Aug,Wed
08/16/18,2018,Qtr 3,Aug,Thu
08/17/18,2018,Qtr 3,Aug,Fri
08/18/18,2018,Qtr 3,Aug,Sat
08/19/18,2018,Qtr 3,Aug,Sun
08/20/18,2018,Qtr 3,Aug,Mon
08/21/18,2018,Qtr 3,Aug,Tue
08/22/18,2018,Qtr 3,Aug,Wed
08/23/18,2018,Qtr 3,Aug,Thu
08/24/18,2018,Qtr 3,Aug,Fri
08/25/18,2018,Qtr 3,Aug,Sat
08/26/18,2018,Qtr 3,Aug,Sun
08/27/18,2018,Qtr 3,Aug,Mon
08/28/18,2018,Qtr 3,Aug,Tue
08/29/18,2018,Qtr 3,Aug,Wed
08/30/18,2018,Qtr 3,Aug,Thu
08/31/18,2018,Qtr 3,Aug,Fri
09/01/18,2018,Qtr 3,Sep,Sat
09/02/18,2018,Qtr 3,Sep,Sun
09/03/18,2018,Qtr 3,Sep,Mon
09/04/18,2018,Qtr 3,Sep,Tue
09/05/18,2018,Qtr 3,Sep,Wed
09/06/18,2018,Qtr 3,Sep,Thu
09/07/18,2018,Qtr 3,Sep,Fri
09/08/18,2018,Qtr 3,Sep,Sat
09/09/18,2018,Qtr 3,Sep,Sun
09/10/18,2018,Qtr 3,Sep,Mon
09/11/18,2018,Qtr 3,Sep,Tue
09/12/18,2018,Qtr 3,Sep,Wed
09/13/18,2018,Qtr 3,Sep,Thu
09/14/18,2018,Qtr 3,Sep,Fri
09/15/18,2018,Qtr 3,Sep,Sat
09/16/18,2018,Qtr 3,Sep,Sun
09/17/18,2018,Qtr 3,Sep,Mon
09/18/18,2018,Qtr 3,Sep,Tue
09/19/18,2018,Qtr 3,Sep,Wed
09/20/18,2018,Qtr 3,Sep,Thu
09/21/18,2018,Qtr 3,Sep,Fri
09/22/18,2018,Qtr 3,Sep,Sat
09/23/18,2018,Qtr 3,Sep,Sun
09/24/18,2018,Qtr 3,Sep,Mon
09/25/18,2018,Qtr 3,Sep,Tue
09/26/18,2018,Qtr 3,Sep,Wed
09/27/18,2018,Qtr 3,Sep,Thu
09/28/18,2018,Qtr 3,Sep,Fri
09/29/18,2018,Qtr 3,Sep,Sat
09/30/18,2018,Qtr 3,Sep,Sun
10/01/18,2018,Qtr 4,Oct,Mon
10/02/18,2018,Qtr 4,Oct,Tue
10/03/18,2018,Qtr 4,Oct,Wed
10/04/18,2018,Qtr 4,Oct,Thu
10/05/18,2018,Qtr 4,Oct,Fri
10/06/18,2018,Qtr 4,Oct,Sat
10/07/18,2018,Qtr 4,Oct,Sun
10/08/18,2018,Qtr 4,Oct,Mon
10/09/18,2018,Qtr 4,Oct,Tue
10/10/18,2018,Qtr 4,Oct,Wed
10/11/18,2018,Qtr 4,Oct,Thu
10/12/18,2018,Qtr 4,Oct,Fri
10/13/18,2018,Qtr 4,Oct,Sat
10/14/18,2018,Qtr 4,Oct,Sun
10/15/18,2018,Qtr 4,Oct,Mon
10/16/18,2018,Qtr 4,Oct,Tue
10/17/18,2018,Qtr 4,Oct,Wed
10/18/18,2018,Qtr 4,Oct,Thu
10/19/18,2018,Qtr 4,Oct,Fri
10/20/18,2018,Qtr 4,Oct,Sat
10/21/18,2018,Qtr 4,Oct,Sun
10/22/18,2018,Qtr 4,Oct,Mon
10/23/18,2018,Qtr 4,Oct,Tue
10/24/18,2018,Qtr 4,Oct,Wed
10/25/18,2018,Qtr 4,Oct,Thu
10/26/18,2018,Qtr 4,Oct,Fri
10/27/18,2018,Qtr 4,Oct,Sat
10/28/18,2018,Qtr 4,Oct,Sun
10/29/18,2018,Qtr 4,Oct,Mon
10/30/18,2018,Qtr 4,Oct,Tue
10/31/18,2018,Qtr 4,Oct,Wed
11/01/18,2018,Qtr 4,Nov,Thu
11/02/18,2018,Qtr 4,Nov,Fri
11/03/18,2018,Qtr 4,Nov,Sat
11/04/18,2018,Qtr 4,Nov,Sun
11/05/18,2018,Qtr 4,Nov,Mon
11/06/18,2018,Qtr 4,Nov,Tue
11/07/18,2018,Qtr 4,Nov,Wed
11/08/18,2018,Qtr 4,Nov,Thu
11/09/18,2018,Qtr 4,Nov,Fri
11/10/18,2018,Qtr 4,Nov,Sat
11/11/18,2018,Qtr 4,Nov,Sun
11/12/18,2018,Qtr 4,Nov,Mon
11/13/18,2018,Qtr 4,Nov,Tue
11/14/18,2018,Qtr 4,Nov,Wed
11/15/18,2018,Qtr 4,Nov,Thu
11/16/18,2018,Qtr 4,Nov,Fri
11/17/18,2018,Qtr 4,Nov,Sat
11/18/18,2018,Qtr 4,Nov,Sun
11/19/18,2018,Qtr 4,Nov,Mon
11/20/18,2018,Qtr 4,Nov,Tue
11/21/18,2018,Qtr 4,Nov,Wed
11/22/18,2018,Qtr 4,Nov,Thu
11/23/18,2018,Qtr 4,Nov,Fri
11/24/18,2018,Qtr 4,Nov,Sat
11/25/18,2018,Qtr 4,Nov,Sun
11/26/18,2018,Qtr 4,Nov,Mon
11/27/18,2018,Qtr 4,Nov,Tue
11/28/18,2018,Qtr 4,Nov,Wed
11/29/18,2018,Qtr 4,Nov,Thu
11/30/18,2018,Qtr 4,Nov,Fri
12/01/18,2018,Qtr 4,Dec,Sat
12/02/18,2018,Qtr 4,Dec,Sun
12/03/18,2018,Qtr 4,Dec,Mon
12/04/18,2018,Qtr 4,Dec,Tue
12/05/18,2018,Qtr 4,Dec,Wed
12/06/18,2018,Qtr 4,Dec,Thu
12/07/18,2018,Qtr 4,Dec,Fri
12/08/18,2018,Qtr 4,Dec,Sat
12/09/18,2018,Qtr 4,Dec,Sun
12/10/18,2018,Qtr 4,Dec,Mon
12/11/18,2018,Qtr 4,Dec,Tue
12/12/18,2018,Qtr 4,Dec,Wed
12/13/18,2018,Qtr 4,Dec,Thu
12/14/18,2018,Qtr 4,Dec,Fri
12/15/18,2018,Qtr 4,Dec,Sat
12/16/18,2018,Qtr 4,Dec,Sun
12/17/18,2018,Qtr 4,Dec,Mon
12/18/18,2018,Qtr 4,Dec,Tue
12/19/18,2018,Qtr 4,Dec,Wed
12/20/18,2018,Qtr 4,Dec,Thu
12/21/18,2018,Qtr 4,Dec,Fri
12/22/18,2018,Qtr 4,Dec,Sat
12/23/18,2018,Qtr 4,Dec,Sun
12/24/18,2018,Qtr 4,Dec,Mon
12/25/18,2018,Qtr 4,Dec,Tue
12/26/18,2018,Qtr 4,Dec,Wed
12/27/18,2018,Qtr 4,Dec,Thu
12/28/18,2018,Qtr 4,Dec,Fri
12/29/18,2018,Qtr 4,Dec,Sat
12/30/18,2018,Qtr 4,Dec,Sun
12/31/18,2018,Qtr 4,Dec,Mon
01/01/19,2019,Qtr 1,Jan,Tue
01/02/19,2019,Qtr 1,Jan,Wed
01/03/19,2019,Qtr 1,Jan,Thu
01/04/19,2019,Qtr 1,Jan,Fri
01/05/19,2019,Qtr 1,Jan,Sat
01/06/19,2019,Qtr 1,Jan,Sun
01/07/19,2019,Qtr 1,Jan,Mon
01/08/19,2019,Qtr 1,Jan,Tue
01/09/19,2019,Qtr 1,Jan,Wed
01/10/19,2019,Qtr 1,Jan,Thu
01/11/19,2019,Qtr 1,Jan,Fri
01/12/19,2019,Qtr 1,Jan,Sat
01/13/19,2019,Qtr 1,Jan,Sun
01/14/19,2019,Qtr 1,Jan,Mon
01/15/19,2019,Qtr 1,Jan,Tue
01/16/19,2019,Qtr 1,Jan,Wed
01/17/19,2019,Qtr 1,Jan,Thu
01/18/19,2019,Qtr 1,Jan,Fri
01/19/19,2019,Qtr 1,Jan,Sat
01/20/19,2019,Qtr 1,Jan,Sun
01/21/19,2019,Qtr 1,Jan,Mon
01/22/19,2019,Qtr 1,Jan,Tue
01/23/19,2019,Qtr 1,Jan,Wed
01/24/19,2019,Qtr 1,Jan,Thu
01/25/19,2019,Qtr 1,Jan,Fri
01/26/19,2019,Qtr 1,Jan,Sat
01/27/19,2019,Qtr 1,Jan,Sun
01/28/19,2019,Qtr 1,Jan,Mon
01/29/19,2019,Qtr 1,Jan,Tue
01/30/19,2019,Qtr 1,Jan,Wed
01/31/19,2019,Qtr 1,Jan,Thu
02/01/19,2019,Qtr 1,Feb,Fri
02/02/19,2019,Qtr 1,Feb,Sat
02/03/19,2019,Qtr 1,Feb,Sun
02/04/19,2019,Qtr 1,Feb,Mon
02/05/19,2019,Qtr 1,Feb,Tue
02/06/19,2019,Qtr 1,Feb,Wed
02/07/19,2019,Qtr 1,Feb,Thu
02/08/19,2019,Qtr 1,Feb,Fri
02/09/19,2019,Qtr 1,Feb,Sat
02/10/19,2019,Qtr 1,Feb,Sun
02/11/19,2019,Qtr 1,Feb,Mon
02/12/19,2019,Qtr 1,Feb,Tue
02/13/19,2019,Qtr 1,Feb,Wed
02/14/19,2019,Qtr 1,Feb,Thu
02/15/19,2019,Qtr 1,Feb,Fri
02/16/19,2019,Qtr 1,Feb,Sat
02/17/19,2019,Qtr 1,Feb,Sun
02/18/19,2019,Qtr 1,Feb,Mon
02/19/19,2019,Qtr 1,Feb,Tue
02/20/19,2019,Qtr 1,Feb,Wed
02/21/19,2019,Qtr 1,Feb,Thu
02/22/19,2019,Qtr 1,Feb,Fri
02/23/19,2019,Qtr 1,Feb,Sat
02/24/19,2019,Qtr 1,Feb,Sun
02/25/19,2019,Qtr 1,Feb,Mon
02/26/19,2019,Qtr 1,Feb,Tue
02/27/19,2019,Qtr 1,Feb,Wed
02/28/19,2019,Qtr 1,Feb,Thu
03/01/19,2019,Qtr 1,Mar,Fri
03/02/19,2019,Qtr 1,Mar,Sat
03/03/19,2019,Qtr 1,Mar,Sun
03/04/19,2019,Qtr 1,Mar,Mon
03/05/19,2019,Qtr 1,Mar,Tue
03/06/19,2019,Qtr 1,Mar,Wed
03/07/19,2019,Qtr 1,Mar,Thu
03/08/19,2019,Qtr 1,Mar,Fri
03/09/19,2019,Qtr 1,Mar,Sat
03/10/19,2019,Qtr 1,Mar,Sun
03/11/19,2019,Qtr 1,Mar,Mon
03/12/19,2019,Qtr 1,Mar,Tue
03/13/19,2019,Qtr 1,Mar,Wed
03/14/19,2019,Qtr 1,Mar,Thu
03/15/19,2019,Qtr 1,Mar,Fri
03/16/19,2019,Qtr 1,Mar,Sat
03/17/19,2019,Qtr 1,Mar,Sun
03/18/19,2019,Qtr 1,Mar,Mon
03/19/19,2019,Qtr 1,Mar,Tue
03/20/19,2019,Qtr 1,Mar,Wed
03/21/19,2019,Qtr 1,Mar,Thu
03/22/19,2019,Qtr 1,Mar,Fri
03/23/19,2019,Qtr 1,Mar,Sat
03/24/19,2019,Qtr 1,Mar,Sun
03/25/19,2019,Qtr 1,Mar,Mon
03/26/19,2019,Qtr 1,Mar,Tue
03/27/19,2019,Qtr 1,Mar,Wed
03/28/19,2019,Qtr 1,Mar,Thu
03/29/19,2019,Qtr 1,Mar,Fri
03/30/19,2019,Qtr 1,Mar,Sat
03/31/19,2019,Qtr 1,Mar,Sun
04/01/19,2019,Qtr 2,Apr,Mon
04/02/19,2019,Qtr 2,Apr,Tue
04/03/19,2019,Qtr 2,Apr,Wed
04/04/19,2019,Qtr 2,Apr,Thu
04/05/19,2019,Qtr 2,Apr,Fri
04/06/19,2019,Qtr 2,Apr,Sat
04/07/19,2019,Qtr 2,Apr,Sun
04/08/19,2019,Qtr 2,Apr,Mon
04/09/19,2019,Qtr 2,Apr,Tue
04/10/19,2019,Qtr 2,Apr,Wed
04/11/19,2019,Qtr 2,Apr,Thu
04/12/19,2019,Qtr 2,Apr,Fri
04/13/19,2019,Qtr 2,Apr,Sat
04/14/19,2019,Qtr 2,Apr,Sun
04/15/19,2019,Qtr 2,Apr,Mon
04/16/19,2019,Qtr 2,Apr,Tue
04/17/19,2019,Qtr 2,Apr,Wed
04/18/19,2019,Qtr 2,Apr,Thu
04/19/19,2019,Qtr 2,Apr,Fri
04/20/19,2019,Qtr 2,Apr,Sat
04/21/19,2019,Qtr 2,Apr,Sun
04/22/19,2019,Qtr 2,Apr,Mon
04/23/19,2019,Qtr 2,Apr,Tue
04/24/19,2019,Qtr 2,Apr,Wed
04/25/19,2019,Qtr 2,Apr,Thu
04/26/19,2019,Qtr 2,Apr,Fri
04/27/19,2019,Qtr 2,Apr,Sat
04/28/19,2019,Qtr 2,Apr,Sun
04/29/19,2019,Qtr 2,Apr,Mon
04/30/19,2019,Qtr 2,Apr,Tue
05/01/19,2019,Qtr 2,May,Wed
05/02/19,2019,Qtr 2,May,Thu
05/03/19,2019,Qtr 2,May,Fri
05/04/19,2019,Qtr 2,May,Sat
05/05/19,2019,Qtr 2,May,Sun
05/06/19,2019,Qtr 2,May,Mon
05/07/19,2019,Qtr 2,May,Tue
05/08/19,2019,Qtr 2,May,Wed
05/09/19,2019,Qtr 2,May,Thu
05/10/19,2019,Qtr 2,May,Fri
05/11/19,2019,Qtr 2,May,Sat
05/12/19,2019,Qtr 2,May,Sun
05/13/19,2019,Qtr 2,May,Mon
05/14/19,2019,Qtr 2,May,Tue
05/15/19,2019,Qtr 2,May,Wed
05/16/19,2019,Qtr 2,May,Thu
05/17/19,2019,Qtr 2,May,Fri
05/18/19,2019,Qtr 2,May,Sat
05/19/19,2019,Qtr 2,May,Sun
05/20/19,2019,Qtr 2,May,Mon
05/21/19,2019,Qtr 2,May,Tue
05/22/19,2019,Qtr 2,May,Wed
05/23/19,2019,Qtr 2,May,Thu
05/24/19,2019,Qtr 2,May,Fri
05/25/19,2019,Qtr 2,May,Sat
05/26/19,2019,Qtr 2,May,Sun
05/27/19,2019,Qtr 2,May,Mon
05/28/19,2019,Qtr 2,May,Tue
05/29/19,2019,Qtr 2,May,Wed
05/30/19,2019,Qtr 2,May,Thu
05/31/19,2019,Qtr 2,May,Fri
06/01/19,2019,Qtr 2,Jun,Sat
06/02/19,2019,Qtr 2,Jun,Sun
06/03/19,2019,Qtr 2,Jun,Mon
06/04/19,2019,Qtr 2,Jun,Tue
06/05/19,2019,Qtr 2,Jun,Wed
06/06/19,2019,Qtr 2,Jun,Thu
06/07/19,2019,Qtr 2,Jun,Fri
06/08/19,2019,Qtr 2,Jun,Sat
06/09/19,2019,Qtr 2,Jun,Sun
06/10/19,2019,Qtr 2,Jun,Mon
06/11/19,2019,Qtr 2,Jun,Tue
06/12/19,2019,Qtr 2,Jun,Wed
06/13/19,2019,Qtr 2,Jun,Thu
06/14/19,2019,Qtr 2,Jun,Fri
06/15/19,2019,Qtr 2,Jun,Sat
06/16/19,2019,Qtr 2,Jun,Sun
06/17/19,2019,Qtr 2,Jun,Mon
06/18/19,2019,Qtr 2,Jun,Tue
06/19/19,2019,Qtr 2,Jun,Wed
06/20/19,2019,Qtr 2,Jun,Thu
06/21/19,2019,Qtr 2,Jun,Fri
06/22/19,2019,Qtr 2,Jun,Sat
06/23/19,2019,Qtr 2,Jun,Sun
06/24/19,2019,Qtr 2,Jun,Mon
06/25/19,2019,Qtr 2,Jun,Tue
06/26/19,2019,Qtr 2,Jun,Wed
06/27/19,2019,Qtr 2,Jun,Thu
06/28/19,2019,Qtr 2,Jun,Fri
06/29/19,2019,Qtr 2,Jun,Sat
06/30/19,2019,Qtr 2,Jun,Sun
07/01/19,2019,Qtr 3,Jul,Mon
07/02/19,2019,Qtr 3,Jul,Tue
07/03/19,2019,Qtr 3,Jul,Wed
07/04/19,2019,Qtr 3,Jul,Thu
07/05/19,2019,Qtr 3,Jul,Fri
07/06/19,2019,Qtr 3,Jul,Sat
07/07/19,2019,Qtr 3,Jul,Sun
07/08/19,2019,Qtr 3,Jul,Mon
07/09/19,2019,Qtr 3,Jul,Tue
07/10/19,2019,Qtr 3,Jul,Wed
07/11/19,2019,Qtr 3,Jul,Thu
07/12/19,2019,Qtr 3,Jul,Fri
07/13/19,2019,Qtr 3,Jul,Sat
07/14/19,2019,Qtr 3,Jul,Sun
07/15/19,2019,Qtr 3,Jul,Mon
07/16/19,2019,Qtr 3,Jul,Tue
07/17/19,2019,Qtr 3,Jul,Wed
07/18/19,2019,Qtr 3,Jul,Thu
07/19/19,2019,Qtr 3,Jul,Fri
07/20/19,2019,Qtr 3,Jul,Sat
07/21/19,2019,Qtr 3,Jul,Sun
07/22/19,2019,Qtr 3,Jul,Mon
07/23/19,2019,Qtr 3,Jul,Tue
07/24/19,2019,Qtr 3,Jul,Wed
07/25/19,2019,Qtr 3,Jul,Thu
07/26/19,2019,Qtr 3,Jul,Fri
07/27/19,2019,Qtr 3,Jul,Sat
07/28/19,2019,Qtr 3,Jul,Sun
07/29/19,2019,Qtr 3,Jul,Mon
07/30/19,2019,Qtr 3,Jul,Tue
07/31/19,2019,Qtr 3,Jul,Wed
08/01/19,2019,Qtr 3,Aug,Thu
08/02/19,2019,Qtr 3,Aug,Fri
08/03/19,2019,Qtr 3,Aug,Sat
08/04/19,2019,Qtr 3,Aug,Sun
08/05/19,2019,Qtr 3,Aug,Mon
08/06/19,2019,Qtr 3,Aug,Tue
08/07/19,2019,Qtr 3,Aug,Wed
08/08/19,2019,Qtr 3,Aug,Thu
08/09/19,2019,Qtr 3,Aug,Fri
08/10/19,2019,Qtr 3,Aug,Sat
